feature,f_score,selected
feature_25,989.5743723218212,True
feature_27,932.5005628389273,True
feature_3,364.8804758009755,True
feature_26,223.5242088892054,True
feature_5,144.62488359021228,True
feature_12,114.11798798193249,True
feature_17,82.08240243715613,True
feature_0,63.19768046167916,True
feature_22,41.53174975478695,True
feature_16,31.621967263429354,True
feature_9,19.095201302008743,True
feature_20,19.03557293134721,True
feature_23,13.466378563501632,True
feature_13,13.409190765810873,True
feature_21,10.138048344381145,True
feature_8,7.016833229641966,False
feature_6,3.735642440198863,False
feature_4,3.235578311102558,False
feature_1,2.8132369320110815,False
feature_15,1.7216917805553749,False
feature_24,1.1696154606465992,False
feature_18,1.1528567315998417,False
feature_11,0.917956160234446,False
feature_7,0.803803063619733,False
feature_2,0.443215863042973,False
feature_19,0.06586960313451493,False
feature_14,0.05249094098333852,False
feature_10,0.025743478988132507,False
